Consequence	n	category
3_prime_UTR_variant	365663	UTR
3_prime_UTR_variant,NMD_transcript_variant	7654	UTR
5_prime_UTR_variant	67920	UTR
5_prime_UTR_variant,NMD_transcript_variant	609	UTR
frameshift_variant	4790	exonic
frameshift_variant,NMD_transcript_variant	47	exonic
frameshift_variant,splice_region_variant	152	exonic
frameshift_variant,splice_region_variant,intron_variant	1	exonic
frameshift_variant,splice_region_variant,NMD_transcript_variant	3	exonic
frameshift_variant,start_lost	10	exonic
frameshift_variant,start_lost,start_retained_variant	11	exonic
frameshift_variant,stop_lost	21	exonic
frameshift_variant,stop_retained_variant	11	exonic
inframe_deletion	3174	exonic
inframe_deletion,NMD_transcript_variant	11	exonic
inframe_deletion,splice_region_variant	33	exonic
inframe_insertion	2150	exonic
inframe_insertion,NMD_transcript_variant	9	exonic
inframe_insertion,splice_region_variant	11	exonic
inframe_insertion,stop_retained_variant	1	exonic
missense_variant	175557	exonic
missense_variant,NMD_transcript_variant	1077	exonic
missense_variant,splice_region_variant	4495	exonic
missense_variant,splice_region_variant,NMD_transcript_variant	44	exonic
mature_miRNA_variant	596	non_coding_transcript_variant
non_coding_transcript_exon_variant	516086	non_coding_transcript_variant
non_coding_transcript_variant	2	non_coding_transcript_variant
intron_variant,NMD_transcript_variant	408475	non_coding_transcript_variant
intron_variant,non_coding_transcript_variant	7381554	non_coding_transcript_variant
regulatory_region_variant	6685747	regulatory_region_variant
intron_variant	14546413	intron_variant
splice_acceptor_variant	831	exonic
splice_acceptor_variant,3_prime_UTR_variant,intron_variant,NMD_transcript_variant	1	exonic
splice_acceptor_variant,3_prime_UTR_variant,NMD_transcript_variant	1	exonic
splice_acceptor_variant,5_prime_UTR_variant	2	exonic
splice_acceptor_variant,5_prime_UTR_variant,intron_variant	8	exonic
splice_acceptor_variant,coding_sequence_variant	15	exonic
splice_acceptor_variant,coding_sequence_variant,5_prime_UTR_variant,intron_variant	1	exonic
splice_acceptor_variant,coding_sequence_variant,intron_variant	28	exonic
splice_acceptor_variant,coding_sequence_variant,intron_variant,NMD_transcript_variant	1	exonic
splice_acceptor_variant,frameshift_variant	2	exonic
splice_acceptor_variant,intron_variant	26	exonic
splice_acceptor_variant,intron_variant,NMD_transcript_variant	4	exonic
splice_acceptor_variant,intron_variant,non_coding_transcript_variant	24	exonic
splice_acceptor_variant,NMD_transcript_variant	28	exonic
splice_acceptor_variant,non_coding_transcript_exon_variant	19	exonic
splice_acceptor_variant,non_coding_transcript_exon_variant,intron_variant	32	exonic
splice_acceptor_variant,non_coding_transcript_variant	916	exonic
splice_donor_variant	1170	exonic
splice_donor_variant,3_prime_UTR_variant	1	exonic
splice_donor_variant,3_prime_UTR_variant,intron_variant,NMD_transcript_variant	2	exonic
splice_donor_variant,3_prime_UTR_variant,NMD_transcript_variant	1	exonic
splice_donor_variant,5_prime_UTR_variant	3	exonic
splice_donor_variant,5_prime_UTR_variant,intron_variant	6	exonic
splice_donor_variant,coding_sequence_variant	31	exonic
splice_donor_variant,coding_sequence_variant,3_prime_UTR_variant	1	exonic
splice_donor_variant,coding_sequence_variant,intron_variant	51	exonic
splice_donor_variant,coding_sequence_variant,NMD_transcript_variant	1	exonic
splice_donor_variant,intron_variant	45	exonic
splice_donor_variant,intron_variant,NMD_transcript_variant	2	exonic
splice_donor_variant,intron_variant,non_coding_transcript_variant	36	exonic
splice_donor_variant,NMD_transcript_variant	31	exonic
splice_donor_variant,non_coding_transcript_exon_variant	28	exonic
splice_donor_variant,non_coding_transcript_exon_variant,intron_variant	34	exonic
splice_donor_variant,non_coding_transcript_variant	1216	exonic
splice_region_variant,3_prime_UTR_variant	57	exonic
splice_region_variant,3_prime_UTR_variant,NMD_transcript_variant	101	exonic
splice_region_variant,5_prime_UTR_variant	670	exonic
splice_region_variant,5_prime_UTR_variant,NMD_transcript_variant	11	exonic
splice_region_variant,intron_variant	21328	exonic
splice_region_variant,intron_variant,NMD_transcript_variant	508	exonic
splice_region_variant,intron_variant,non_coding_transcript_variant	7745	exonic
splice_region_variant,non_coding_transcript_exon_variant	3654	exonic
splice_region_variant,non_coding_transcript_variant	63	exonic
splice_region_variant,synonymous_variant	2925	exonic
splice_region_variant,synonymous_variant,NMD_transcript_variant	22	exonic
start_lost	380	exonic
start_lost,5_prime_UTR_variant	4	exonic
start_lost,inframe_deletion	5	exonic
start_lost,NMD_transcript_variant	3	exonic
start_lost,splice_region_variant	12	exonic
start_lost,splice_region_variant,5_prime_UTR_variant	1	exonic
start_lost,start_retained_variant	1	exonic
start_lost,start_retained_variant,5_prime_UTR_variant	3	exonic
start_lost,synonymous_variant	1	exonic
stop_gained	3517	exonic
stop_gained,frameshift_variant	76	exonic
stop_gained,frameshift_variant,splice_region_variant	7	exonic
stop_gained,inframe_deletion	2	exonic
stop_gained,inframe_insertion	8	exonic
stop_gained,inframe_insertion,splice_region_variant	2	exonic
stop_gained,NMD_transcript_variant	22	exonic
stop_gained,protein_altering_variant	1	exonic
stop_gained,splice_region_variant	117	exonic
stop_gained,splice_region_variant,NMD_transcript_variant	2	exonic
stop_lost	177	exonic
stop_lost,3_prime_UTR_variant	12	exonic
stop_lost,3_prime_UTR_variant,NMD_transcript_variant	2	exonic
stop_lost,NMD_transcript_variant	3	exonic
stop_lost,splice_region_variant	1	exonic
synonymous_variant	113773	exonic
synonymous_variant,NMD_transcript_variant	682	exonic
TF_binding_site_variant	1270842	TF_binding_site_variant
TFBS_ablation,TF_binding_site_variant	5	TF_binding_site_variant
upstream_gene_variant	4180143	upstream_gene_variant
downstream_gene_variant	4197780	downstream_gene_variant
intergenic_variant	12398470	intergenic_variant
coding_sequence_variant	11	exonic
coding_sequence_variant,3_prime_UTR_variant	2	exonic
coding_sequence_variant,5_prime_UTR_variant	3	exonic
coding_sequence_variant,NMD_transcript_variant	2	exonic
stop_retained_variant	91	exonic
stop_retained_variant,3_prime_UTR_variant	13	exonic
stop_retained_variant,NMD_transcript_variant	3	exonic
protein_altering_variant	21	exonic
protein_altering_variant,splice_region_variant	1	exonic
incomplete_terminal_codon_variant,coding_sequence_variant	4	exonic
